ADVERBIAL	{'': 3, 'uinti': 1, 'lintu': 1, 'kovaluonteinen': 1, 'oire': 1, 'puna-juuri': 1, 'kirjo': 1, 'keskushyökkäjä': 1, 'onnettomuus': 1, 'sellainen': 1, 'voitto': 1, 'soutu': 1, 'osuus': 1, 'kehitysketju': 1, 'kumpikaan': 1, 'nainen': 1, 'Pori': 1, 'anta': 1, 'kyseinen': 1}
F_SUBJECT	{'sairastua': 1, 'ei': 1, 'joutua': 1, 'voittaa': 1, 'sopia': 1, 'kohdata': 1, 'pitää': 1, 'jäädä': 2, 'voida': 1, 'kiitää': 2, 'kokea': 2, 'ehtiä': 1, 'hoitaa': 1, 'käypi': 1}
OBJECT	{'sortaa': 1, 'päättää': 1, 'toimia': 1, 'syödä': 1, 'Sirje Kiin': 1, 'kertoilla': 1, 'tuoda': 1, 'perustaa': 1, 'armahtaa': 1, 'kasvaa': 1, 'löytyä': 1, 'herätä': 1, 'tarvita': 2, 'hyväksyä': 1, 'täytyä': 1, 'joutua': 1, 'herjata': 1}
NP_ATTRIBUTE	{'': 16, 'kantaa': 1, 'Toni Koivunen': 1, 'Ako': 1, 'Backley': 1, 'Arthur Numanin': 1, 'Simo Eerikäinen': 1, 'Väisänen': 1, 'kotijoukkue': 1, 'Gretzkystä': 1, 'puikko': 1, 'MM-': 1, 'isä': 1, 'kähärä': 1, 'polttopuu': 1, 'Ritva Valjakan': 1, 'tamma': 1, 'Mika': 2, 'Robert Reichel': 1, 'Harri Huttunen': 1, 'Heikki Kylliäinen': 1, 'Raimo Helminen': 1, 'suupala': 1, 'Hell Mantila': 1, 'keila': 2, 'Janne Pulkkinen': 1, 'Pekka Ilmivalta': 1, 'vammainen': 1, 'Jani Lehtonen': 1, 'vanhus': 2, 'lyöjätykki': 1, 'pisto': 1, 'Jarmo Alatensiötä': 1, 'Jani Hassinen': 1, 'Erkki Aakko': 1, 'Keel': 1, 'Pasi Pirinen': 1, 'hallinta': 1, 'Olli Nenonen': 2, 'kymppi': 1, 'Kubilay Turkyilmazin': 1, 'mikkeli-vierailu': 1, 'Janne Moilanen': 1, 'tunti': 2, 'tasapelipiste': 1, 'ripe': 2, 'Kautonen': 1, 'satanen': 4, 'Olli Hartikainen': 3, 'pelaaja': 1, 'Tuomas Korpela': 1, 'taskuraha': 1, 'Sakari Lindfors': 2, 'Jari Taipale': 1, 'vvatilla': 1, 'Brett Hullin': 1, 'Esa': 2, 'ia': 1, 'Hannu': 1, 'tulos': 2, 'ukkonen': 1, 'korkea': 1, 'maali': 2, 'piste': 10, 'Wahlman': 1, 'Kankaanpää': 1, 'Lindström': 1, 'Lifländerin': 1, 'Krzysztof Gawara': 1, 'Peter Ahola': 1, 'Janeckyn': 1, 'Harri Nev': 1, 'syntinen': 1, 'pylväspää': 1, 'Fovvlkesin': 1, 'Erik Holmgren': 1, 'Ilkka Mäkelä': 1, 'Harri Vannin': 1, 'Pasi Nenonen': 1, 'Joni Liuksen': 1, 'Catharina Svenlin': 1, 'Harri': 1, 'metri': 1, 'Changin': 1, 'Aki Berg': 1, 'hevonen': 2, 'paitsiomaali': 1, 'tieura': 1, 'potilas': 1, 'Tommi Sallinen': 1, 'taistella': 1, 'vaimo': 1, 'satalappunen': 1, 'prosenttiyksikkö': 1, 'Jyrki': 2, 'Petri Ylönen': 1, 'Riia': 1, 'Juha Jyrkkiö': 1, 'Vesa Kalpio': 1, 'Valeri Popovitsh': 1, 'Kimmo Tarkkion': 1, 'Hannu Jäntti': 1, 'Sampras': 1, 'Valentin Kononej': 1, 'Harri Pöyry': 1, 'nurmi': 1, 'kuolonkalpea': 1, 'Tuomas Sammelvuo': 1, 'Stuttgart': 1, 'Esko Immonen': 1, 'mies': 2, 'tukki': 1, 'kirvesniemi': 1, 'Tiina': 2, 'Petri Kuusinen': 1, 'Anders Eriksson': 1, 'Dufva': 1, 'Johan Östmanin': 1, 'Markus': 1, 'vitonen': 1, 'puoU': 1, 'Timo Blomqvist': 1, 'Ville Hautala': 1, 'Timo': 1, 'Italia': 1, 'Wayne Gretzky': 1, 'Glenn Lindquist': 1, 'Jukka Marttila': 1, 'sentti': 2, 'Graf': 1, 'kilo': 1, 'Susanna Vanhanen': 1, 'Aleksandr Gredjusko': 1, 'Cole': 1, 'Ari': 2, 'Jari': 1, 'kuukausi': 1, 'kitinä': 1, 'Gullit': 1, 'matka': 1, 'mattopesula': 1, 'Tommi Kovanen': 1, 'HNMKY:n': 1, 'eläin': 1, 'Seppänen': 2, 'Mikaela Ingberg': 1, 'Matti Valjakka': 1, 'Herbert Crook': 1, "Sophie's Symphony": 1, 'Sami Aikään': 1, 'Anthony': 1, 'Janne Oinonen': 1, 'äiti': 1, 'rukata': 1, 'Mauri': 1, 'karhu': 1, 'Janne Räsänen': 1, 'asiakas': 1, 'Ismo Lius': 2, 'Juha Koskela': 1, 'katukauppias': 1, 'Olli': 2, 'Harri Hakkarainen': 2, 'osanottaja': 1, 'Seppo Räty': 1, 'Lasse Peltonen': 1, 'Heidi Hannula': 1, 'Pekka Markkanen': 1, 'prosentti': 2, 'Stanislav Pochop': 1, 'Merja Lahtinen': 1, 'Peter Hoestra': 1, 'ja': 2, 'Kylliäistä': 1, 'Tikkanen': 1, 'Janne Ahonen': 1, 'Tuulikki Pyykkönenja': 1, 'Hämäläinen': 1, 'Susanna Heikkilä': 1, 'miljoona': 1, 'suolaraha': 1, 'Sami Laaksonen': 1, 'selänne': 1, 'Mario Lemieuxia': 1, 'ilme': 1, 'kaari': 1, 'Kihlström': 1, 'Darko': 1, 'ukkeli': 1, 'työntekijä': 1, 'Sini Tamminen': 1, 'omena': 2, 'lilliputti': 1, 'Saku Koivu': 1, 'sekunti': 11, 'centiimeistä': 1, 'tenniskenttä': 1, 'tohmajärveläinen': 1, 'Harri Vänni': 1, 'terhi': 1, 'Marko Suoste': 1, 'rupla': 1, 'Louise Laukko': 1, 'Marko Wahlmanilta': 1, 'Ingberg': 1, 'Rubinelda Henry-Serranon': 1, 'vireä': 1, 'Gary Pallister': 1, 'saturainen': 1, 'Shumovia': 1, 'Jari Litmanen': 3, 'Kinnunen': 1, 'markka': 2, 'kirahvi': 1, 'Pentti': 1, 'Ari Hjelmiä': 1, 'Otakar Janecky': 1, 'puu': 1, 'osa': 1, 'Mika Aaltonen': 1, 'Harri Liikanen': 1, 'Mika Strömberg': 1, 'korpi': 1, 'lapsilisä': 1, 'Riitta Pitkänen': 1, 'Havard Tveite': 1, 'tuttava': 1, 'Jari Hartikainen': 1, 'matkamies': 1, 'Jyrki Lehto': 1, 'ruskailikin': 1, 'Pekka Lipiäinen': 1, 'Wayne Gretzkyäkin': 1, 'I.': 1, 'Aki': 1, 'Petri Häkkinen': 1, 'lemmikki': 1, 'Mika Myllylä': 1, 'Henrik Kosonen': 7, 'Karppinen': 1, 'Aleksandr Andrijevskia': 1, 'pinna': 1, 'Kai Virtanen': 1, 'Guttorm': 1, 'juoksu': 1, 'maili': 1, 'Darren Boyko': 1, 'Mikko Haapakoski': 1, 'Frank de Boer': 1, 'Pasi Nurminen': 1, 'Takon': 1, 'joukkue': 1, 'Zein': 1, 'Mika Lu-': 1, 'palkkio': 1, 'Suomi': 1, 'Myllylän': 1, 'jäljittely': 1}
N_SUBJECT	{'': 1, 'palkata': 1, 'tehdä': 1, 'käyttää': 1, 'kokea': 1}
P_SUBJECT	{}
E_SUBJECT	{'': 1, 'hän': 1}
POS_SUBJECT	{}
POS_OBJECT	{}
NUM_ATTRIBUTE	{'': 21, 'ryppyinen': 1, 'sadasosapiste': 1, 'piikki': 1, '100': 1, 'kuukausi': 1, 'rysä': 1, 'Mark Messier': 1, 'lippu': 1, 'miljoo-': 1, '84': 1, '584': 1, 'kisapaikka': 1, '600': 1, 'kilomet-': 1, 'Harry': 1, 'Yvonne Gunell': 1, 'hikipisara': 1, 'keila': 12, 'aari': 1, 'oljenkorren': 1, '/': 1, 'mitali': 2, 'ja': 4, 'kilometri': 2, 'juoksija': 1, 'päivä': 1, 'kolme': 2, 'Susanna Vanhanen': 1, 'tunti': 2, 'markka': 19, 'kappale': 4, 'lokakuu': 1, 'kymmenys': 1, 'prosentti': 22, 'teelusikallinen': 1, 'parlamenttipaik': 1, 'Saksa': 1, 'hehtaari': 1, 'teippi': 1, ',': 2, 'kerta': 2, 'pää': 2, 'hiihtäjä': 1, 'ampiainen': 2, '062': 1, 'miljoona': 12, 'piste': 55, 'tulos': 1, ':': 2, '1990': 1, 'sadasosasekunti': 9, 'mc-pistettä': 1, 'maali': 13, 'gramma': 2, 'penni': 1, 'Jani Soininen': 1, 'miljardi': 1, 'litra': 2, 'tavi': 1, 'sekunni': 1, 'kruunu': 1, 'dollari': 2, 'ääni': 4, 'kolmonentilanne': 2, '400': 1, 'Fredrik Olausson': 1, 'sekunti': 55, '.': 12, 'tekopaikka': 1, 'l.': 1, 'torjunta': 1, 'metri': 4, 'mmkista': 1, 'viikko': 3, 'hopeamitali': 1, 'vuosi': 6, 'sujua': 1, 'minuutti': 9, 'Vaapaheittoja': 1, 'Uudellamaalla': 1, '594': 1, '(': 2, 'Jonathon': 1, 'yksi': 1, 'puimuri': 1, 'sadasosa': 3, 'milli': 1, 'Göteborgin': 1, 'kuusi': 1, 'maikka': 1, 'se-': 1, 'laukaus': 2, 'vartti': 2, 'kotiutustilannetta': 1, 'C-lohko': 1, 'senttilitra': 1, 'siirto': 1, 'voitto': 1, 'solmu': 1, 'puu': 1, 'pinna': 2, 'virhepiste': 1, 'ero': 1, 'avauserä': 1, 'kysyä': 1, 'liigapeli': 1, 'juoksu': 1, '%': 2, 'Mikko Haapakoski': 1, 'ottelu': 2, 'tapahtuma': 1, 'uusi': 1, 'syöttöpiste': 1, '000': 19, 'kymmenen': 1, 'ta': 1, 'aste': 1, 'sentti': 8, 'sata': 1, 'kilo': 1}
