19	Jäykässä sääty-yhteiskunnassa köyhät ja työkyvyttömät olivat parempiosaisten säälin ja armeliaisuuden varassa ; niinpä oli ymmärrettävää , että avun tarpeessa olevia kutsuttiin säälivästi » 	vaivaisiksi	 » ja heidän huoltoaan » vaivaishoidoksi » .
66	Säästöä on minulla nykyään entisistä varoista noin sata ruplaa , mutta tämä summa ei riitä edes rukoushuoneen maalaukseen ja siitä täytyy sitä pdtsi vielä _anta_ 	vaivaisillekin	 .
170	_Kumpikaan_ 	vaivaisista	 ei pelaa sunnuntaina toisessa maaottelussa Varkaudessa .
202	- _Uinti_ on hyvä laji esimerkiksi 	selkävaivaisille	 , niskaa potevien ihmisten on opeteltava ensin uimaan rasittamatta niskalihaksia .
236	Vähän 	vaivaiseksi	 käyneen papparaisen lempiharrastuksena ovat olleet aina kauniit _naiset_ , ikään ja yhteiskuntaluokkaan katsomatta .
274	Torstain _osuus_ oli 	selkävaivaisille	 mahdollisimman hankalaa maastoa , pelkkää kivikkoa .
360	Pikku hiljaa alkoi tapahtua : keskushyökkäjä Pekka Lähdetniemi _heittäytyminen_ 	vaivaiseksi	 vaikeutti pienikokoisen joukkueen peliajatusta jonkin verran , mutta isku tapahtui runsas viikko sitten , kun avainpelaaja Petri Niiranen kompastui nilkkansa leikkauskuntoon .
542	Oli vähällä hävitä Savonlinnan Palloseuralle , _voitto_ tuli 	vaivaisella	
586	Kyseessä on ollut kehitysketju , _joka_ alkoi laiskoista 	vaivaisista	 ja jatkui syyttömiin sekä lopulta kunniakkaisiin sotainvalideihin .
590	Tällä hetkellä noin neljälle prosentille terveyskeskuslääkärien vastaanotoille tulevista 	ylävatsavaivaisista	 kyseinen _tähystys_ tehdään .
609	- Nuori yksilö on eksynyt luultavasti muuttomatkallaan Jäämereltä etelään ja siksi _lintu_ näytti todella 	vaivaiselta	 ja kuihtuneelta .
754	Punajuuri- peruna-porkkana-sellerimehussa _peruna_ tekee myös hyvää 	vatsavaivaisille	 ja selleri antaa pirteyttä , Leena Torssonen valistaa .
845	Noin seitsemällä prosentilla kaikista 	selkävaivaisista	 _oireet_ ja kipu pitkittyvät .
942	Se pelaa niin mielenkiintoista jalkapalloa , että 	sydänvaivaisille	 pitäisi antaa porttikielto _Porin_ stadionille .
1007	Viikkojen _onnettomuus_ yhdestä 	vaivaisesta	 sai miakkimerkkarista !
1083	Ori oli kuitenkin _kovaluonteinen_ ja potki välillä itsensä 	vaivaiseksi	 .
1087	_Sellainen_ on tarkoitettu esimerkiksi 	nivelvaivaisille	 ja ylipainoisille XL-jumppa .
1183	Sosiaaliluokkien _kirjo_ ulottuu hökkelikylien 	vaivaisista	 aina valtavia pyramidimonumentteja rakentaviin ökykapitalisteihin asti .
1207	Maaseudulla tarvitaan halvempaa bensaa autoileville , kutsutaksijäijestelmiä ja sen sellaisia autottomille ja tavaroiden kotiin kuljettelua 	vaivaisille	 ja laiskoille .
1213	- _Soutu_ on paras laji kaikille 	selkävaivaisille	 , ja paras se on myös metsurille , sanoo Närhi .
1252	Vaivaisukkojen avulla kerättiin aikoinaan kirkossa kävijöiltä rahaa köyhille ja 	vaivaisille	 .
