72	_Marttila_ poistui kaukalosta 	selkävaivaisena	 .
96	Hän oli tullut takaiskuihin syytön , muna toisen erän alussa 0-4-tilanteessa peliin Jaromir Sindel oli 	jalkavaivaisenakin	 Jokereille ohittamaton _este_ .
121	EM-Hannoveriin 	jalkavaivaisena	
135	V 4-4 : Illan päälähtöä kohtasi jo eilen paha vastoinkäyminen , kun _Javin-Hilu_ joutui 	jalkavaivaisena	 jäämään pois .
140	Banking ; 1-4-7-12-9 V 4-4 : Queen _Lady_ jäi viimeksi pois 	jalkavaivaisena	 , joten sen mahdollisuuksiin on suhtauduttava hieman varovaisesti .
150	Hiiret juoksevat Pihaleikeissä , mutta Kiekussa ja Raikussa _Possu_ on 	jalkavaivaisena	 .
155	Kiihkeä ja ajoittain kovaotteinen kamppailu sai hieman ikävän sivumaun , kun _kaksi_ KuPS:n pelaajaa poistui 	jalkavaivaisena	 kentältä .
156	Mukaan mahtui taas annos dramatiikkaa , sillä _kaksi_ kupsilaista jätti kentän 	jalkavaivaisena	 .
163	nostui 	jalkavaivaisena	 repimään _yhdeksän_ levypalloa .
171	Karelin paini Vantaalla 	vaivaisena	 .
181	Usein ajetaan liian pitkään 	vaivaisena	 eikä hoideta hevosta , moittii Saksa .
191	Myös kokenut Jussi Jokinen oli _hyvä_ . vaikka pelasi 	sormivaivaisena	 .
193	Ennakkoon mielenkiinnolla odotettu Mid's Andyn avaus jäi toiseen kertaan , sillä _ori_ oli jäänyt kotitalliin 	jalkavaivaisena	
207	Angeles-ottelussa 	jalkavaivaisena	 eikä pystynyt täysipainoiseen suoritukseen .
212	ja Holmgren 	vaivaisina	
213	Kun JuPan kolmoskoppariksi siirretty _Pasi Vironen_ pelasi vielä 	jalkavaivaisena	 , löytyi polttolinjan takaa runsaasti tilaa ratkaisulyönneille .
222	Suomen hevosten pääsarjassa odotettiin mielenkiinnolla Patrikin kauden avausta , mutta _se_ joutui jäämään 	kaviovaivaisena	 pois .
225	_Lemieux_ pelasi loppuottelun 	käsivaivaisena	 , mutta silti hänen panoksensa oli ratkaiseva kolmessa ensimmäisessä otte-
239	Vaihtajaykkönen Asko Laine pelasi vain alun ja tuli sitten jokeriksi 	nivusvaivaisena	 .
246	Nyt oli _Mika Lipponen_ jälleen 	jalkavaivaisena	 sivussa .
263	Myös Ilveksen tuliterä kanadalaisvahvistus Brad Jones osoitti ottelussa selviä pelimiehen elkeitä : 	jalkavaivaisenakin	 _tulokas_ iski kaksi osumaa .
265	Itse ottelussa Vauhtia ei haitannut , vaikka Kivitien loukkaantumisen jälkeen _vaihtopenkki_ ammottikin tyhjyyttään Tantun itse joutuessa 	jalkavaivaisena	 kentälle .
295	Loimun passari _Kari_ Kalin ei pystynyt 	selkävaivaisena	 lainkaan pelaamaan .
308	Saija alkoi vahvasti , vaikka _Gretzky_ oli 	selkävaivaisena	 poissa kolme ensimmäistä kuukautta .
316	Keskikentällä Vilhunen peluutti Teräsalmea , Mäkelää , Gruborovicsia ja Huddia , _joka_ 	reisivaivaisena	 ei voinut täyttää aiempaa pakin paikkaa .
326	_Hän_ pelasi 	selkävaivaisena	 jokerin laikka käsivarressaan .
357	_Kähärä_ oli sivussa ottelusta 	selkävaivaisena	 .
392	Jari Räsäsen ( vas . ) kakkossija vakuutti miehen nousukunnosta ja Jari _Isometsä_ oli 	käsivaivaisenakin	 pronssimitalin väärti .
394	Ykköspassari Kardo Kynnap oli sairaana ja Terho _Björninen_ on 	nilkkavaivaisena	 sivussa loppukauden .
412	_Pitkänen_ voitti 	jalkavaivaisenakin	 suurpujottelun
422	_Jukka Liikala_ oli 	jalkavaivaisena	 sivussa .
424	Myös _Mikael Kajander_ ontui kentältä 	nilkkavaivaisena	 .
456	Jukka Seppo oli näkyvin , mutta kaipasi selvästi rinnalleen Vesa Karjalaista , _joka_ 	nilkkavaivaisena	 oli sivussa .
472	_Lusik_ joutui 	polvivaivaisena	 viettämään pitkän tovin vaihtopenkillä ja kentällä ollessaankin hänen hyökkäyspelistään oli paras teho poissa .
490	Pohjois-Karjalan kansanedustaja Törnqvist paikkasi maanantaina Etelä-Savossa puoluejohtaja Lipposta , _joka_ 	jalkavaivaisena	 ei päässyt avaamaan Mikkelin läänin demaripiirin maakunnallista vaalityötä .
511	_Herbert Crook_ jätti 	jalkavaivaisena	 levypallotaistot muille , heittokaan eikä ollut tällä kertaa kovin tarkka .
528	Juvalaiskone ei ole yskinyt pahemmin , vaikka kakkoskoppari Aki _Ruotsalainen_ on ollut 	jalkavaivaisena	 sivussa muutamasta ottelusta .
535	Tia Hautala hyppäsi korkeutta 172 ja juoksi aidat 14,11. Kuulassa Hautalalle kirjattiin _tulos_ 13,23. Tiina Rättyä aitoi 	reisivaivaisena	 kauden parhaansa 14,10. Korkeudessa Tiinalla meni 169 , mutta kuulassa pienenä pettymyksenä 12,31.
547	Kaavilainen _Harri Hakkarainen_ heitti finaalin 	käsivaivaisena	 .
