9	Muina paljon työtä ja kärsivällisyyttä vaatineina lähderyhminä ovat olleet 	vaivais-	 _ja_ työhuonekassojen tilit , joista ilmenevät silloisen huviveron vastineen suorittajat , sekä passiasiakirjat , joiden avulla voi seurata tanssinopettajien ja sirkusseurueitten ja -artistien liikkumista Suomessa .
22	Selvä asia aivan on että hengellisiä 	vaivaisia	 , muserrettuja ja kuoleman kanssa _taistelevia_ ei voi lohduttaa ihanneihmisen muisto , vaikka se pantaisiin paistamaan heidän eteensä taivaan kaaren kaikilla väreillä .
60	Kirkolle ovat uhranneet Omsiirtokunnan suomalaiset tänä vuonna noin 140:tä ruplaa ja sitä paitsi ruokkineet useampia 	vaivaisia	 ja antaneet heille _polttopuita_ .
71	Inhimillinen toiminta on täydellisen olennon toimintaan verraten 	vaivaista	 _jäljittelyä_ ja täydellisyyden toivotonta tavoittelua — juuri siitä nimenomaisesta syystä , että inhimillinen toiminta on sidottu konkreettisiin ja partikulaareihin konteksteihinsa .
73	Nivusta potevaa Hannu Virtaa ja 	selkävaivaista	 _Jukka Marttilaa_ olisi kaivattu , kun vastustajalla oli asettaa neljä täyttä kenttää .
80	Tapio Levon johtama ykköskenttä , josta puuttui 	selkävaivainen	 _Juha Jyrkkiö_ , voitti osuutensa 3 — 2. Arto Javanainen teki kaksi ja Kari Makkonen yhden osuman .
91	Suomen kaksikko Jari Ahlbom ja 	lonkkavaivainen	 _Erkki Aakko_ jäivät summuntaina Raatin jäälle torjumaan haastajien hyökkäykset kolmannesta MM-jatkopaikasta .
92	KaPan 	jalkavaivainen	 tehopelaaja _Ahti_ Haikarainen ruskailikin , että aina nämä ottelut menevät tappeluksi .
93	Toisella erikoiskokeella Sainz teki pohja-ajan ja palasi 8 sekunnin turvin kilpailun johtoon , mutta Delecour runnoi pohja-ajan kolmannella erikoiskokeella ja supisti Sainzin johdon 	vaivaiseen	 vuteen _sekuntiin_ .
94	Laskiessasi kuusikkopainanteeseen sinua odottaa vahva hiljaisuus , jonka pintaa kutittelee vain tiaisen 	vaivainen	 _kitinä_ .
95	Jaromir Sindel oli 	vaivainen	 , mutta nuori _Pekka Ilmivalta_ oli ensimmäisessä kokonaisessa liigaottelussaan tshekille täysipainoinen korvaaja .
98	sulkapallokenttiä Miksei oltaisi voitu laittaa johonkin sellaiseen paikkaan , missä olisi tilaa , kuin pilata 	vaivaiset	 _tenniskentät_ , tai rakentaa vaikka uusi sulkapallohalli .
100	TPS:n puolustuksesta puuttui 	selkävaivainen	 _Mikko Haapakoski_ , mutta juniori Markku Kiprusoff tävtti hvvin hänen paikkansa .
115	Sveitsin-leirivahvuudesta on pudotettu joukkueesta 	vatsavaivainen	 _Timo Blomqvist_ ( puolustaja ) , Pasi Huura ( p ) , Janne Laukkanen ( p ) , Vesa Viitakoski ( hyökkääjä ) ia Raimo Helminen
117	Ottelu alkoi suomalaisittain lupaavasti , kun 	nivusvaivaisen	 _Kimmo Tarkkion_ toisena kärkimiehenä korvannut Pasi Tauriainen hankki Suomelle jo 2. minuutilla kulmapotkun oikealta .
119	Matikaisella ei ole paljon murheita loukkaantumisista , sillä 	nivusvaivainen	 joukkueen kapteeni _Hannu_ Virtakin kykenee pelaamaan .
122	Kotijoukkueelta puuttui keskikentältä 	polvivaivainen	 _Mika Aaltonen_ .
125	Pilkulta epäonnisen Czakonin lisäksi Ilveksestä erottuivat oikean sivustan miehet , Janne Mäkelä ja Jari Aaltonen , Kotijoukkueesta puolestaan onnistui Polackin ja Tolvasen ohella nuori Ari Karppanen , joka pelasi 	jalkavaivaisen	 _Anders Erikssonin_ paikalla .
127	Mikkelin Ampujien kuluneen viikon piirikunnallisissa vastasi parhaasta tuloksesta Markku Puhakainen aloittaessaan kauden hyvällä tuloksella 593 pistettä pienoiskiväärin makuukilpailussa , mukavasti ampui mvös tänä vuonna aikamiesten kirjoihin siirtynyt Pentti Uimi , 586 p. Vapaapistoolilla pisti Mäntyharjun Antti Pesonen kovasti kampoihin Jorma Asbackalle häviten vain 	vaivaisen	 _pisteen_ , 542 ja 541. Urheilupistoolilla Juvan Väinö Laukkanen kävi taas näyttämässä mallia nuoremmilleen ottamalla ylivoimaisen voiton 572 pisteellä .
134		Olkavaivainen	 _Jani Lehtonen_ oli Lempäälässä todistamassa ennätyksensä rikkoutumista , sillä hän sijoittui kilpailussa toiseksi tuloksella 520. Asko Peltoniemi , 28 , on valmistautunut kuluvaan kilpailukauteen pelkästään kotimaassa .
139	NTHI:n joukkueesta puuttui 	polvivaivainen	 _Havard Tveite_ , joka kahdella edellisellä kerralla on ratkaissut voiton loppukirissä .
141	Jaro joutui kentälle ilman 	jalkavaivaisia	 _Timo Kivilompoloa_ ja Krysztof Gawaraa .
142	Kuusysi pelasi ilman 	jalkavaivaista	 liberoaan _Hannu Jänttiä_ , mutta Jarmo Saastaoisen johtama puolustus hoiteli yllättävän helposti vieraiden harvat lähentelyt .
146	- Kerran olen käynyt siellä ja silloin syntyi tuo 	vaivainen	 _tulos_ .
147	Pahiten petti joukkueen kakkospuoli , josta 	käsivaivainen	 _Pasi Pirinen_ puuttui .
160	Saksan valmentaja myöskään ei suostunut paljastamaan , onko joukkueen 	jalkavaivainen	 _lyöjätykki_ lauantaina Saksan aloituskuusikossa vai ei .
162		Jalkavaivaiset	 _Juha Koskela_ ja Pekka Nikulainen olivat saaneet antaa tilaa Petteri Kähärille ja Mika Kuismalle .
164	Ilman 	reisivaivaista	 kapellimestariaan _Jarmo Alatensiötä_ pelannut PPT jaksoi hangoitella kohtuullisen tasapäisesti Klubia vastaan puolisen tuntia , mutta Ismo Liuksen röyhkeä läpiajo ja varma sijoitus Tommi Koivistoisen selän taakse 27. minuutilla katkaisi porilaisten selkärangan .
167	Sarjan kärjessä jatkaa edelleen kahden pisteen erolla Panttereihin Helsingin NMKY , joka venyi vieraskentällä niukkaan 76- 75 voittoon Hongikosta , vaikka sen riveistä puuttuivat 	jalkavaivaiset	 _Herbert Crook_ ja Petri Niiranen .
178	Jokeriluotsi Boris Majorov joutui vetämään toiseen erään 	jalkavaivaisen	 _Janeckyn_ kaukaloon Mika Välilän tilalle .
180		selkävaivaisen	 Ari Heikkisen tilalla .
201	Espoon riemukkaan voiton takana oli ennen kaikkea Hiili , joka on torjunut 	umpisuolivaivaisen	 ykkösveräjänvartijan _Sami Aikään_ tilalla erinomaisesti .
204	Meillä on peruskouluikäisiä 	selkävaivaisia	 _ia_ osteoporoosiongelma kaatuu terveyskeskusten päälle .
